time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer	Index
0	19	Recording begins with Zoom profile photo of a drawing of a baseball breaking a window with faint sound of the song It Ain't Me Babe.	Image and sound	
20	35	Empty Zoom profile with no sound 	Image	
36	57	An older man plays with his phone camera in speaker view, first shooting his forehead in front of a very bright light, then lowering it to his face; in this there is a very brief flash of two other people	Image	
60	80	Cut to another younger man, Bradley King, in his bedroom. The room has books and hung up drawings. He scoots his chair closer to the computer for a medium close up.	Image	
81	95	Bradley sits up straight, adjusts computer	Image	
96	110	Cut back to drawing of baseball through window with faint music	Image	
111	118	Cut back to Bradley King in his room. BK: Hi everyone! 	Image and transcription	
125	130	BK: Welcome to this event! Can everyone hear me I assume you can? 	Transcription	
131	139	Cut to speaker view without profile photo: Yes hi!! BK: Hi thank you! (laughter from unknown speaker view)	Image and transcription	
140	151	Cut back to BK: There are still many people showing up and I'm going to let them in as a welcome you. Thank you for coming. Thank you for donating. Thank you for your patience.	Image and transcription	
152	171	BK: There will be connections tonight. There will be connection disruptions. There will be connection euphoria. So try to bear with us as we try to make this work gracefully.	Transcription	
174	192	BK: I want to begin by thanking Sarah la Puerta who organized this whole event. This is her vision and we owe her our gratitude for this night. 	Transcription	
196	201	BK: And we owe her our gratitude for this night. Thank you also to Kyle Schlesinger and Cuneiform Press 	Transcription	Cuneiform
204	204	Blank Zoom profile: Yay!	Transcription	
206	229	BK: And thanks for you for saying yay and donating, and coming, and thanks most of all to Bernadette Mayer for writing poetry and for creating these vitalizing energy vessels for us all to enjoy 	Transcription	Mayer, donate
235	249	BK: Well more than enjoy, to draw upon as we try to live. Um, if you want to donate tonight here's how you do it. 	Transcription	
249	265	BK: Many of you have already donated but if you want to donate again or...if you have not donated yet and would like to	Transcription	donate
269		Sharescreen of How to Donate document it includes Paypal generocityreading@gmail.com and Venmo handle @generocity and the website for Cuneiform Press. Alongside the shared screen is a gallery view of Bradley King, Kyle Schlesinger in front of a large library of books, and two other people (unknown), but also the Zoom icon with the first name of a letter S. One of the people is sitting in bed eating soup.	Image	donate
278	283	Sound of laughter and background noise. BK: Will someone confirm that they can? Audience: YES! BK: Ok 	Transcription and sound	
285		Bernadette Mayer and Philip Good visible in gallery view side bar	Image	
285	299	BK: And the first announcement I will make is that if you purchase anything from Cuneiform Press tonight. The money that you pay for your books will go directly to the Bernadette mayer fund. 	Transcription	Cuneiform
301	321	BK: So if you have been thinking about any Cuneiform Press releases, which, he has many this summer, Kyle has been hard at work this summer. I have the website listed there. Search around if you buy books the money will go to our cause this evening. 	Transcription	Cuneiform
323	346	BK: I also wanna say. Um, I think I'm recording this. I have this meeting set up to where it's supposed to automatically record, but if you would like to record I believe I also have it set up to where you can just press record and you should be able to 	Transcription	platform
347	362	BK: And if anyone has, if anyone is trying to record and is struggling to record well let me know send me a message and I'll see what I can do. (Bradley changes his Zoom background to The Northern Lights) yeah, that seems more right.	Transcription	platform
367	384	BK: Um, if you want to learn about Bernadette Mayer and her life in poetry and the great work she has done for all of us 	Transcription	
387	400	BK: then there are lots of places you can read about that and so tonight instead of telling you about her in an introduction I am just going to ask Bernadettte a couple questions	Transcription	
400	286	BK: Um, Bernadette are you ready? Bernadette Mayer: Yes Dear. Image: Cut to Bernadette Mayer, an older woman with glasses, a red head scarf, wearing a brightly colored dashiki-like outfit. Sitting next to her slightly out of frame is an older man. In the background is a houseplant with red flowers, a window, art work on the walls, and framed photos on a desk. 	Image and transcription	
287	419	BK in speaker view: Uh, well, the first thing I wanna ask you is did you see anyting terrific or fascinating in your yard today. BK smiles. 	Image and transcription	lag
423	431	Back to BM in speaker view after she says: OOo, Hmmm, An orange tree. BK in speaker view: An orange tree? Oh hm, well did the tree have oranges on it? Or..?	Image and transcription	
432	437	BM in speaker mode: No, no (BM's partner laughs) BM: It is a tree that turns orange. She laughs.	Image and transcription	
438	462	BK in speaker mode: Well, I, I, that, that I'm glad you said that because I also wanted to ask you about color, I've heard that you have some ideas or you like to talk about the color of letters of the alphabet. And I was just going to ask you to say a bit about the color letters.	Image and transcription	
469	479	BM in speaker mode: Oh, uh, ok, well A is red. B is pink. C is ochre. (slight distortion or lag) D is black.  	Image and transcription	lag, synesthesia
480	490	Brief cut to older man in extreme close up then back to speaker view of BM: What comes after D? E, green. F who's that? Voice off screen: It's Neely. BM: Oh it's Neely! F is blue gray. 	Image and transcription	
491	506	BM: G is brown. brief cut to audience member in speaker view. H blue gray. I gray, J, brown, K black, L gray, O a beautiful white! 	Image and transcription	synesthesia
507	528	BM: M brown, N, should I go on? BK: Yeah, please! Cut to BK in speaker view. N, O white, P, blue, drak blue, uhhh, Q is golden	Image and transcription	synesthesia
529	560	BM: R is burnt orange, S yellow, T dark blue gray, U gray, V blue, What comes after V? W, brown, X golden, Y, yellow, Z, brown. BK: Brown? What comes after brown? BM laughs loudly.	Image and transcription	synesthesia
561	575	BM: Well nothing really. Every synesthete has a different color for every letter so somebody's else's letters would would be a different color. BK: I see. 	Transcription	synesthesia
576	589	Cut to BK in speaker view: Do you have these memorized or? Do they come to you differently each time. BM: I can't hear. BK: I say do they come to you differently or are they always the same each time? (slight distortion in mic)	Image and transcription	memory
590	611	back to BM in speaker view: No they're always the same. They've been the same since I was a child. Just a letter is a certain color and it just stays that way forever	Image and transcription	
612	630	Even if you know like Nabokov (changing to Russian pronunciation) NabOkov said there playing with blocks when he was a kid, they're all the wrong colors (Sound of Venmo app receiving money) and his mother said yes I know. BM laughs and so does BK.	Image, sound, and transcription	Nabokov, money
633	645	back to BK in speakerview. Slight distortion of audio. BK: Did the colors of the letters ever seem like the wrong colors to you? Back to BM in speaker view: Yeah they do. But I always enjoyed the fact that E was green. 	Image and transcription	
646	655	BK: Because it mean as I said very often to my grand daughter it means free money is green. BM laughs. 	Transcription	money
656	665	BK in speaker view: I'm gonna keep my eyes open for the letter E now. Cut to BM who is now sipping water: What? Man next to her says quietly: Keep your eyes open for the letter E. Cut back to BK. UM, can I ask you one more question?   	Image and transcription	
666	686	BM in speaker view: MMmhmmM. BK: I wanted to ask you what you favorite thought that you've had today was. BM: Yeah, um, gee. Man next to her quietly whispers: The maple tree. The tree. in the creek. BM turns her head to listen. 	Image and transcription	nature
688	710	BM: The um, OH! Well, I dont know if it's my favorite thought but we were walking by the Kinderhook creek and we could see the trees above and I pointed to this really orange tree. And I asked Phil who was with me. Is this our tree? 	Transcription	nature
711	730	BM: Now this is not a favorite thought. It is just an odd thought to think that a tree belongs to you. Sound of someone watching TV (maybe Narcos?) very loudly. back to BK in speaker: now you found yourself with this odd thought.  	Transcription	background
731	739	BK in speaker view. Sound of someone watching TV with mic on and empty profile in speaker view. BM smiling: Who's that? Partner: I don't know. BK angrily: Who's got there TV on?!  	Image and transcription	platform
740	774	Loud sound of TV continues. BK in speakerview: My god I don't know what to do with this. Someone is not muted. MUTE MUTE MUTE. OK. Well before we get to the readings, thank you Bernadette for talking with me, before we get to the readings I wanna do, I'm your telethon fool this evening. 	Transcription	platform
775	790	BK: I'm gonna be making announcements about how to donate money to our cause. So there's one way that you can do that. I'm gonna share my screen and I think I have a beautiful image to share with you. 	Transcription	money, platform
795	807	BK shares screen of red and blue broadside of Bernadette Mayer's poem "We are Ordinary C'Mere." BK in gallery view along with KS, BM and a few others. BK: Can you all confirm that you see this? That everybody can see what we're looking. KS gives thumbs up. A number of voices Yes! With audio distorted.  	Image and transcription	
812	835	Sound of appreciative ooos and ahhs. BK: These are Bernadette Mayer sonnets. In case you don't know, Bernadette Mayer is an innovator of many, many literary genres, including Utopia Visions and Journals and Sonnets and um, Sharon Ruse who is a master calligrapher from Austin, Texas 	Transcription	
837	864	BK: Has written out some of her favorite of Bernadette's sonnets and these are kind of the grand prize for donations. But if you feel moved to donate 500 dollars to our honarium for Bernadette Mayer and Philip's cause to buy a generator tonight these are available. 	Transcription	donate
867	899	BK: Phenomenon of Chaos has already been claimed but this sonnet here (BK scrolls through quickly to Sonnet with the first line, "Other than what's gone on and stupid art") and this sonnet here, C'mere Tell me the rest of it, these are still available.The artwork around the edges was done by another friend of Cuneiform Press Philip Trussel who is a poet. 	Transcription	
900	918	BK:painter and hermetic scholar who also lives in Austin. So I'm gonna stop that screenshare. If anyone has any questions about how to donate just contact me of Kyle Schlesinger or Sarah La Puerta in the chat. 	Transcription	platform
919	950	BK: And well I'll be telling you more about this as the evening goes on. Now we're gonna do a series of short readings. Oh more people to admit to the meeting! Here they come. There will be a handful of poets and we're gonna do a set of readings in honor of Bernadette and I'm going to begin. We'll go in a sorta circle if that's what you wanna call it. 	Transcription	
951	976	And um, then we'll take the evening from there. Some I'm gonna read two poems, from a long poem or I guess two stanzas if you wanna call them from a long poem that I recently wrote and the name of the poem is Hey Craig. And this is stanza number 20.  	Transcription	
977	1037	BK reads from his poem Hey Craig	Poem	
1040	1099	BK: And this is stanza number 2. BK reads from Hey Craig. BK smirks after the line, And that's why the wealthy so love the arts.	Poem and image	money
1103	1113	BK: And our next reader will be Sivan Lavie who coming to us from Jerusalem. Speaker view of Bernadette Mayer briefly. 	Image and transcription	place
1114		SL in speaker view. She is a woman with curly hair and a patterned turtleneck, behind her is a pantry, knives on the wall, and a calendar	Image	
1115	1122	SL: Hi! I'm Sivan Lavie and I am in Jerusalem. I'm gonna be reading a couple of poems. (Sound of pages shuffling) SL moves to get papers.	Transcription	
1123	1240	SL: reads a poem with the first line "Featherball Badminton with wings and spirals" 	Transcription	
1147		BK in speaker view seemingly because of sound of him picking up a glass. This occurs multiple times throught SL's first poem.	Image and sound	
1151		Back to SL in speaker view with some shots back to BK in speaker view	Image	
1245	1336	SL exhales. And the next poem, "My Favorite Color"	Transcription and poem	
1336	1345	SL exhales and smiles: And next up we've go Zoe Darsee. Thank you. SL laughs and leans head on hand. Sound of scattered applause. And next up we've got Zoe Darsee in Berlin. 	Transcription and sound	place
1346	1355	Off-screen, someone says,I know, I know, come here. Speaker view of Zoe Darsee and Nicole Herr against a plane white wall. Two women with short hair, dressed simply. ZD: Um, ok. Cut back to speaker view of SL smiling. Then back to ZD. 	Image and transcription	
1355	1554	ZD begins reading: Against the paperlike wind she clutched the train as she lowered herself out of an exit and braced for impact. Sounds of pages turning as ZD looks at screen and then away.	Poem	
1557	1567	ZD: Thank you, um, Kevin is next. ZD smiles. NH in frame claps. The two women are sitting on a bed, smile, and look at each other happily.	Image and transcription	
1569		KMT: Thanks Zoe!	Transcription	
1570		Kevin McNamee Tweed in speaker view. He is a man with a beard in a yellow Iowa City shirt. Behind him is a basketball net toy, abstract art on the wall, and an open door with three windows. There is also a tabby cat behind him who moves in and out of view.	Image	
1576	1580	KMT turns pages looks around room. KMT: Professional liquid. Can you hear me? 	Transcription	
1581	1628	KMT begins reading a poem titled "Professional Liquid," "I woke up today with the words professional liquid which I had read on a bottle of discount superglue." The poem mentions walking a dog there is a dog slightly visible to his right side.	Poem and Image	
1631	1650	KMT begins reading a poem titled, "Pasta Types," "linguine, fettucine, capolini, orochiette"	Poem	
