In	Out	Annotation	Layer	Index
00:00:00:00	00:00:00:00	Gallery view of 20 frames (including CR, HLG, KJ, RL) applause from those with mics on	Image and Environment	
00:00:03:09	00:00:36:09	CR:Thank you, thank you, Professor Gates, Christina Davis, and everyone for spending this evening with me. I've been looking forward. I'm going to start by showing a video because why not? And then I will read. So first I'm going to share the screen. That's always a point of anxiety...will this work	Transcription	platform
00:00:04:04	00:00:04:04	CR in speaker view, medium-close up, eye contact maintained, modern living room with white walls, red couches, abstract color field paintings, a hanging green leafy plant, blinds are drawn, but the light outside is bright, likely Rankine's home in Southern California	Image	
00:00:36:27	00:00:36:27	Share screen of a police training video on bias. The room is basement with brown walls, one computer, a chair, a desk, a white board. The screen begins with an image of a Black man in a coat and tie. It quickly cuts to a white woman in a pink shirt with short hair and a badge. All figures are shot from a slight low angle. The video cuts back to the Black man who is the police chief. In Just Us, three stills from this video occur on page 138 (but of the objecting officer in the audience who is off screen) and Rankine transcribes the interaction using their names in the pages that follow. The section in the book is titled "white male privilege"	Image and Notes	
00:00:37:28	00:01:18:28	Off-screen male voice: Because if you can have a basis for where the number comes from and what the situation is that puts them in the situation. Officer 1: Mmmhhhmm Off-screen male voice: Are they more likely to be in this situation than someone who's not transgender? Officer 1: Mmhmm yes. Off-screen male voice: Which I don't know what that is, I'm just saying. My wife has never been part of police violence. Most of the people that I know have never been, accused the police of violence. So I guess I don't get where that's supposed to come from.	Transcription	policing
00:01:19:16	00:01:39:16	Off-screen female voice: It's a white male privilege so you wouldn't know. Off-screen male voice: I'm sorry (angrily). I'm sorry?! Off-screen woman: It's a white male privilege so you wouldn't know. Officer 1: I can end this right now, ok? Chief: We want to keep it safe and professional;. That's my role and objective. So I don't want to focus on the statistics. Off-screen voice: CHIEF!	Transcription	whiteness
00:01:43:03	00:02:14:03	Chief: Quite frankly. Off-screen voice: *interrupts* SERIOUSLY, I'M ASKING A LEGITIMATE QUESTION. And I've been taught white privilege are you serious? I find that extremely offensive. Voices overlap. Off-screen voice: In America?! I will leave. I file it on your desk. Chief: We're not talking about white privilege here. We're trying to focus on a different demographic. I'm going to keep this professional. And I apologize if anybody if offended. This data that we have here--	Transcription	whiteness
00:02:17:21	00:02:54:21	CR: OK, so when the white woman who told the police officer (she was also a police officer) that he couldn't understand why transgender people were targeted by the police  and she said you can't understand because of your white male privilege that woman was put on leave and was given the position of no longer having any contact with anyone in the police force.	Transcription	policing, whiteness
00:02:21:01	00:02:21:01	Cut back to CR in speaker view	Image	
00:03:00:09	00:03:21:18	CR: So thats how she was to live out her time in the police force because she was a bad influence basically. And he the man who brought the charges against her for saying white male privilege, nothing happened to him. So that's that's the state of discourse in 2019. I don't know if things would have changed by now.	Transcription	policing, whiteness
00:03:23:20	00:03:53:20	CR:But I wanted to begin with a quote from Paul Celan, he says, What times are these when a conversation is almost a crime? Because it includes so much made explicit. What times are these when a conversation is almost a crime? And with that I will start reading initially the opening poem from Just Us.	Transcription	Celan, conversation
00:03:56:17	00:04:33:17	CR reads the opening poem from Just Us: What Does It Mean to Want.	Poem	
