0:00:00	0:00:12	Two shots intoducing WPR, poet, date, and event over vinyl cracking effect	Intertitle
0:00:13	13	Cut to CD introduction	Editing
0:00:13	0:00:13	Foreground, CD in Speaker View Medium Close-up. Background, a home livingroom, books, a TV, a plant, framed artwork.	Cinematography + Environment
0:00:13	256	CD:Thank you and welcome to our second annual T.S. Eliot Memorial Reading made possible through the generosity of the T.S. Eliot Foundation. I am especially grateful to Claire Reihill and Judith Hooper and on this side of the pond to Blue Flower Arts to professor Gates’s staff members Amy Gosdanian and Terry Oliver and to Mary Walker Graham of the Poetry Room. I’m going to start with some brief opening remarks to allow some more people to enter the Zoom room and then I’ll hand the virtual mic over to Professor Henry Louise Gates Jr. who has so kindly agreed to provide an introduction to Claudia Rankine tonight. The Syrian poet Adonis has observed that there are thing that might not exist except through locution which is to say that certain words do not necessarily name something wholly extant or wholly as yet achieved but suggest something that might as Erica Hunt describes invent us more in the future or as Audre Lorde has written poetry is a vital necessity of our existence within which we predicate our hopes and dreams towards survival and change first made into language then into idea then into more tangible action, until the landscape of our words, as Edouard Glissant writes, becomes the landscape of our world. he Syrian poet Adonis has observed that there are thing that might not exist except through locution which is to say that certain words do not necessarily name something wholly extant or wholly as yet achieved but suggest something that might as Erica Hunt describes invent us more in the future or as Audre Lorde has written poetry is a vital necessity of our existence within which we predicate our hopes and dreams towards survival and change first made into language then into idea then into more tangible action, until the landscape of our words, as Edouard Glissant writes, becomes the landscape of our world. In Claudia Rankine’s book the word that is trying to become word is justice and also as she so powerfully and poignantly reveals it is us. When talking about what happens to us, who is us? What us? She cites a friend as saying by putting the words Just and Us side by Side, instead of fusing them into justice, Rankine is creating what one poet has called a, lang-wedge as in a wedge, a space, a breath, storying up that interval in which through which to forage a conversation. Conversation being something Rankine has come to define as attempting to stand in relation with our bodies and say it once I’m here and here a venturing of ones hand into that space toward what Fred Moten has called a grounded differing. Tonight’s event is itself such a space and I cannot think of anyone more capable of helping us stand in relation that Professor Henry Louise Gates Jr., director of the Hutchins Center for African and African American Studies and the Alfonze Fletcher University Professor at Harvard in addition to having authored or co-authored more than twenty books and creating twenty documentaries, you might also know him as the host of the PBS awarding winning program Finding Your Roots. What his title and resume might not tell you is in addition to his scholarly, civic, and artistic works he’s also been instrumental in his efforts to help build the collections of Harvard Libraries of which the poetry room is a small part through both his personal donations most recently of Harriet Wilson’s groundbreaking novel and through funds raised through Hutchins Center he has helped to acquire and provide access to the papers of Nobel Laureate Wole Soyinka, novelist Chinua Achebe and John Edgar Wideman, and poet June Jordan to name just a few. Please join me in welcoming the one the only professor Henry Louise Gates Junior who will introduce our honored guest this evening.	Transcription
257	260	Gallery view of 20 frames (including CR, HLG, KJ, RL) scattered applause from those with mics on  	Cinematography + Environment
0:04:18	483	HLG: My goodness, Christina, thank you! That was amazing. Not my part but the part about Claudia that was fantastic everybody round of applause please. So this evening it is my honor and enormous pleasure to introduce a person I admire and for whom I have enormous affection, Claudia Rankine, as she presents the TS Eliot Memorial reading a Woodberry Poetry Room here at Harvard University. Currently the Frederick Iseman Professor of Poetry at Yale within Departments of African American Studies and English. Born in Kingston JA (that’s Jamaica!) Rankine received her BA at Williams and MA at Columbia. The poet’s first collection of verse which I love Nothing in Nature is Private, published in 1994, won the Cleveland State Poetry Prize the first of many accolades and awards that her work would garner since then she’s published five more books of poetry and her 2014 publication Citizen: An American Lyric won both the Pen Open Book Award as well as the Pen Literary Award, the NAACP Image Award. Further Citizen holds the unique position of being the only book of poetry in history to be a New York Times Bestseller in the Nonfiction category—I love that—just as her brilliant poetry moves easily among genres, her writing encompasses several, including three plays, Help premiered March 2002 at The Shed in New York City, and in a joint production with Arts Emerson and our own American Repertory Theater, Rankine’s play White Card, which I actually saw and enjoyed enormously, was staged in 2018. As well her 3 plays Rankine has co-edited several anthologies including American Women Poets in the 21st Century, Where Lyric Meets language in 2002, and The Racial Imaginary Writers on Race and the Life of the Mind Published in 2015, and of course her own poems have been included in numerous anthologies including Great American Prose Poems from Poe to the Present. She’s also been part of numerous video collaborations. In 2016, Rankine co-founded the racial imaginary institute, funded in part by the proceeds from her 2016 MacArthur grant. As well as the Macarthur Genius Fellowship Grant, Rankine is the recipient of a 2017 Guggenheim Fellowship, The Bobbit National Prize for Poetry, and the poets and writers Jackson Poetry Prize. In addition, she’s been awarded fellowships and prizes from the Academy of American Poetry, The Lannan Foundation, and the National Endowment of the Arts among many, many others. Please welcome Claudia Rankine as she reads from her most recent publication, a brilliant publication called Just Us: An American Conversation. 	Transcription
0:04:20		Cut to HLG in Speaker View + Close up in planar framing, behind him is a painting that looks like a print from the Jacob Lawrence migration series of a Black farmer with pigs	 Cinematograph + Environment
0:08:03	495	Audience applause begins loudly + cut to gallery view	Cinematography + Environment
496	496	Cut to CR in speaker view, medium-close up, eye contact maintained, modern living room with white walls, red couches, abstract color field paintings, a hanging pothos plant, blinds are drawn, but the light outside is bright, likely Rankine's home in Southern California 	Cinematograph + Environment 
496	529	Thank you, thank you, Professor Gates, Christina Davis, and everyone for spending this evening with me. I've been looking forward. I'm going to start by showing a video because why not? *She smiles and looks at the camera* And then I will read. So first I'm going to share the screen. That's always a point of anxiety...will this work 	Transcription + Embodiment 
529	630	Share screen of a police training video on bias. The first person shot from a medium-long, low angle. Officer 1 is a white, butch police officer in a pink shirt with a badge in her belt strap and a remote control in her hand. The room appears to be a basement with brown walls, one computer, a chair, a desk, a white board. Camera pans to a second officer, a Black man, in a suit and tie, the police chief. The camera pans again to a white woman looking at them. In Just Us, three stills from this video occur on page 138 (but of the objecting officer in the audience who is off screen) and Rankine transcribes the interaction using their names in the pages that follow. The section in the book is titled "white male privilege"	Cinematography + Environment
